2019,2020,2021,2022,Score2019,Score2020,Score2021,Score2022
Kazakhstan,Jamaica,Croatia,Philippines,5.809,5.889800071716309,5.881700038909912,5.903600215911865
Bolivia,South Korea,Philippines,Thailand,5.779,5.872399806976318,5.880199909210205,5.891200065612793
Hungary,Japan,South Korea,Moldova,5.758,5.870800018310547,5.8454999923706055,5.856800079345703
Paraguay,Peru,Peru,Jamaica,5.743,5.796800136566162,5.839600086212158,5.849599838256836
Northern Cyprus,Serbia,Bosnia and Herzegovina,Kyrgyzstan,5.718,5.778200149536133,5.8130998611450195,5.828499794006348
Peru,Bolivia,Moldova,Belarus*,5.697,5.747499942779541,5.76639986038208,5.821499824523926
Portugal,Pakistan,Ecuador,Colombia,5.693,5.693299770355225,5.763999938964844,5.780600070953369
Pakistan,Paraguay,Kyrgyzstan,Bosnia and Herzegovina,5.653,5.6921000480651855,5.743599891662598,5.76800012588501
Russia,Dominican Republic,Greece,Mongolia,5.648,5.689199924468994,5.722599983215332,5.760700225830078
Philippines,Bosnia and Herzegovina,Bolivia,Dominican Republic,5.631,5.674099922180176,5.71589994430542,5.737199783325195
Serbia,Moldova,Mongolia,Malaysia,5.603,5.607500076293945,5.677199840545654,5.711299896240234
Moldova,Tajikistan,Paraguay,Bolivia,5.529,5.555699825286865,5.652599811553955,5.600299835205078
Libya,Montenegro,Montenegro,China,5.525,5.54610013961792,5.58050012588501,5.585299968719482
Montenegro,Russia,Dominican Republic,Paraguay,5.523,5.546000003814697,5.545100212097168,5.5782999992370605
Tajikistan,Kyrgyzstan,North Cyprus,Peru,5.467,5.541500091552734,5.5355000495910645,5.559100151062012
Croatia,Belarus,Belarus,Montenegro,5.432,5.539899826049805,5.5335001945495605,5.546800136566162
Hong Kong,North Cyprus,Russia,Ecuador,5.43,5.5355000495910645,5.477200031280518,5.533299922943115
Dominican Republic,Greece,Hong Kong S.A.R. of China,Vietnam,5.425,5.514999866485596,5.4766998291015625,5.485000133514404
Bosnia and Herzegovina,Hong Kong S.A.R. of China,Tajikistan,Turkmenistan*,5.386,5.51039981842041,5.46619987487793,5.474299907684326
Turkey,Croatia,Vietnam,North Cyprus*,5.373,5.504700183868408,5.410799980163574,5.466599941253662
Malaysia,Libya,Libya,Russia,5.339,5.488800048828125,5.410299777984619,5.458600044250488
Belarus,Mongolia,Malaysia,Hong Kong S.A.R. of China,5.323,5.456200122833252,5.384300231933594,5.424799919128418
Greece,Malaysia,Indonesia,Armenia,5.287,5.384300231933594,5.3445000648498535,5.398600101470947
Mongolia,Vietnam,Congo (Brazzaville),Tajikistan,5.285,5.353499889373779,5.341700077056885,5.377099990844727
North Macedonia,Indonesia,China,Nepal,5.274,5.285600185394287,5.339099884033203,5.376500129699707
Nigeria,Ivory Coast,Ivory Coast,Bulgaria,5.265,5.23330020904541,5.306000232696533,5.3709001541137695
Kyrgyzstan,Benin,Armenia,Libya*,5.261,5.216000080108643,5.282599925994873,5.3302001953125
Turkmenistan,Maldives,Nepal,Indonesia,5.247,5.1975998878479,5.268899917602539,5.23960018157959
Algeria,Congo (Brazzaville),Bulgaria,Ivory Coast,5.211,5.194399833679199,5.265500068664551,5.234600067138672
Morocco,Azerbaijan,Maldives,North Macedonia,5.208,5.16480016708374,5.1975998878479,5.198999881744385
Azerbaijan,Macedonia,Azerbaijan,Albania,5.208,5.159800052642822,5.17080020904541,5.198800086975098
Lebanon,Ghana,Cameroon,South Africa,5.197,5.1479997634887695,5.1417999267578125,5.193900108337402
Indonesia,Nepal,Senegal,Azerbaijan*,5.192,5.137199878692627,5.131800174713135,5.173399925231934
China,Turkey,Albania,Gambia*,5.191,5.131800174713135,5.117400169372559,5.163599967956543
Vietnam,China,North Macedonia,Bangladesh,5.175,5.123899936676025,5.101200103759766,5.1554999351501465
Bhutan,Turkmenistan,Ghana,Laos,5.082,5.119100093841553,5.088399887084961,5.1402997970581055
Cameroon,Bulgaria,Niger,Algeria,5.044,5.101500034332275,5.074100017547607,5.122300148010254
Bulgaria,Morocco,Turkmenistan,Liberia*,5.011,5.094799995422363,5.066400051116943,5.121500015258789
Ghana,Cameroon,Gambia,Ukraine,4.996,5.08489990234375,5.051000118255615,5.084099769592285
Ivory Coast,Venezuela,Benin,Congo,4.944,5.053199768066406,5.045199871063232,5.075200080871582
Nepal,Algeria,Laos,Morocco,4.913,5.005099773406982,5.03000020980835,5.059899806976318
Jordan,Senegal,Bangladesh,Mozambique,4.906,4.980800151824951,5.024600028991699,5.048299789428711
Benin,Guinea,Guinea,Cameroon,4.883,4.9492998123168945,4.984300136566162,5.047599792480469
Congo (Brazzaville),Niger,South Africa,Senegal,4.812,4.909599781036377,4.956399917602539,5.04610013961792
Gabon,Laos,Turkey,Niger*,4.799,4.888599872589111,4.9475998878479,5.003499984741211
Laos,Albania,Pakistan,Georgia,4.796,4.882699966430664,4.934000015258789,4.973199844360352
South Africa,Cambodia,Morocco,Gabon,4.722,4.848400115966797,4.918000221252441,4.9583001136779785
Albania,Bangladesh,Venezuela,Iraq,4.719,4.832799911499023,4.892199993133545,4.940899848937988
Venezuela,Gabon,Georgia,Venezuela,4.707,4.8292999267578125,4.89139986038208,4.92549991607666
Cambodia,South Africa,Algeria,Guinea,4.7,4.8140997886657715,4.8871002197265625,4.890500068664551
Palestinian Territories,Iraq,Ukraine,Iran,4.696,4.784800052642822,4.874800205230713,4.887899875640869
Senegal,Lebanon,Iraq,Ghana,4.681,4.771500110626221,4.854100227355957,4.872000217437744
Somalia,Burkina Faso,Gabon,Turkey,4.668,4.768700122833252,4.851799964904785,4.744200229644775
Namibia,Gambia,Burkina Faso,Burkina Faso,4.639,4.7505998611450195,4.833799839019775,4.670499801635742
Niger,Mali,Cambodia,Cambodia,4.628,4.729300022125244,4.830399990081787,4.6402997970581055
Burkina Faso,Nigeria,Mozambique,Benin,4.587,4.724100112915039,4.79449987411499,4.623199939727783
Armenia,Armenia,Nigeria,Comoros*,4.559,4.676799774169922,4.759300231933594,4.60860013961792
Iran,Georgia,Mali,Uganda,4.548,4.672599792480469,4.723499774932861,4.60260009765625
Guinea,Iran,Iran,Nigeria,4.534,4.672399997711182,4.721199989318848,4.552000045776367
Georgia,Jordan,Uganda,Kenya,4.519,4.633399963378906,4.636499881744385,4.543000221252441
Gambia,Mozambique,Liberia,Tunisia,4.516,4.623600006103516,4.625199794769287,4.515999794006348
Kenya,Kenya,Kenya,Pakistan,4.509,4.583000183105469,4.606599807739258,4.5157999992370605
Mauritania,Namibia,Tunisia,Palestinian Territories*,4.49,4.571100234985352,4.596499919891357,4.482500076293945
Mozambique,Ukraine,Lebanon,Mali,4.466,4.560699939727783,4.583799839019775,4.479000091552734
Tunisia,Liberia,Namibia,Namibia,4.461,4.5578999519348145,4.574100017547607,4.459400177001953
Bangladesh,Palestinian Territories,Palestinian Territories,"Eswatini, Kingdom of*",4.456,4.552800178527832,4.51669979095459,4.396100044250488
Iraq,Uganda,Myanmar,Myanmar,4.437,4.432000160217285,4.42579984664917,4.394199848175049
Congo (Kinshasa),Chad,Jordan,Sri Lanka,4.418,4.422699928283691,4.394599914550781,4.362199783325195
Mali,Tunisia,Chad,Madagascar*,4.39,4.392199993133545,4.355400085449219,4.339099884033203
Sierra Leone,Mauritania,Sri Lanka,Egypt,4.374,4.374599933624268,4.324999809265137,4.287700176239014
Sri Lanka,Sri Lanka,Swaziland,Chad*,4.366,4.327000141143799,4.30810022354126,4.250800132751465
Myanmar,Congo (Kinshasa),Comoros,Ethiopia,4.36,4.310999870300293,4.288599967956543,4.241499900817871
Chad,Swaziland,Egypt,Yemen*,4.35,4.30810022354126,4.282700061798096,4.196899890899658
Ukraine,Myanmar,Ethiopia,Mauritania*,4.332,4.308000087738037,4.274700164794922,4.152599811553955
Ethiopia,Comoros,Mauritania,Jordan,4.286,4.288599967956543,4.227399826049805,4.152100086212158
Swaziland,Togo,Madagascar,Togo,4.212,4.18720006942749,4.208499908447266,4.112299919128418
Uganda,Ethiopia,Togo,India,4.189,4.186200141906738,4.106800079345703,3.777100086212158
Egypt,Madagascar,Zambia,Zambia,4.166,4.165599822998047,4.073400020599365,3.7597999572753906
Zambia,Egypt,Sierra Leone,Malawi,4.107,4.151400089263916,3.849400043487549,3.7504000663757324
Togo,Sierra Leone,India,Tanzania,4.085,3.9263999462127686,3.8189001083374023,3.702399969100952
India,Burundi,Burundi,Sierra Leone,4.015,3.7753000259399414,3.7753000259399414,3.5739998817443848
Liberia,Zambia,Yemen,Lesotho*,3.975,3.759399890899658,3.657900094985962,3.5118000507354736
Comoros,Haiti,Tanzania,Botswana*,3.973,3.7207999229431152,3.623199939727783,3.471100091934204
Madagascar,Lesotho,Haiti,Rwanda*,3.933,3.6528000831604004,3.6149001121520996,3.268199920654297
Lesotho,India,Malawi,Zimbabwe,3.802,3.5732998847961426,3.5999999046325684,2.9951000213623047
Burundi,Malawi,Lesotho,Lebanon,3.775,3.5380001068115234,3.5118000507354736,2.9553000926971436
Zimbabwe,Yemen,Botswana,Afghanistan,3.663,3.527400016784668,3.4665000438690186,2.4038000106811523
Haiti,Botswana,Rwanda,xx,3.597,3.4788999557495117,3.4147000312805176,
