Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region,HDI Rank,Country,mean_year_school_2018,mean_year_school_2019
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and North Africa,40,Saudi Arabia,10.2,10.2
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,,45,Qatar,9.7,9.7
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe,25,Spain,10.3,10.3
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Latin America and Caribbean,57,Panama,10.2,10.2
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean,84,Brazil,7.8,8.0
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean,55,Uruguay,8.8,8.9
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Southeast Asia,11,Singapore,11.6,11.6
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Latin America and Caribbean,124,El Salvador,6.9,6.9
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Western Europe,29,Italy,10.3,10.4
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and North Africa,42,Bahrain,9.4,9.5
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Central and Eastern Europe,39,Slovakia,12.6,12.7
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,,67,Trinidad & Tobago,11.0,11.0
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Central and Eastern Europe,35,Poland,12.3,12.5
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Commonwealth of Independent States,106,Uzbekistan,11.8,11.8
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Central and Eastern Europe,34,Lithuania,13.0,13.1
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean,83,Colombia,8.3,8.5
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Central and Eastern Europe,22,Slovenia,12.5,12.7
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Latin America and Caribbean,128,Nicaragua,6.8,6.9
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Latin America and Caribbean,46,Argentina,10.6,10.9
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Central and Eastern Europe,49,Romania,11.0,11.1
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Western Europe,33,Cyprus,12.2,12.2
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Latin America and Caribbean,86,Ecuador,8.8,8.9
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Middle East and North Africa,64,Kuwait,7.3,7.3
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Southeast Asia,79,Thailand,7.8,7.9
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Central and Eastern Europe,37,Latvia,13.0,13.0
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,East Asia,23,South Korea,12.2,12.2
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Central and Eastern Europe,29,Estonia,13.1,13.1
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Latin America and Caribbean,101,Jamaica,9.8,9.7
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Sub-Saharan Africa,66,Mauritius,9.4,9.5
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,East Asia,19,Japan,12.8,12.8
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Latin America and Caribbean,132,Honduras,6.6,6.6
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Commonwealth of Independent States,51,Kazakhstan,11.8,11.9
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Latin America and Caribbean,107,Bolivia,9.0,9.0
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Central and Eastern Europe,40,Hungary,11.9,12.0
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Latin America and Caribbean,103,Paraguay,8.4,8.5
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Latin America and Caribbean,79,Peru,9.7,9.7
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Western Europe,38,Portugal,9.2,9.3
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,South Asia,154,Pakistan,5.2,5.2
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Commonwealth of Independent States,52,Russia,12.2,12.2
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Southeast Asia,107,Philippines,9.4,9.4
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Central and Eastern Europe,64,Serbia,11.2,11.2
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Commonwealth of Independent States,90,Moldova,11.6,11.7
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Middle East and North Africa,105,Libya,7.6,7.6
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Central and Eastern Europe,48,Montenegro,11.5,11.6
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Commonwealth of Independent States,125,Tajikistan,10.7,10.7
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Central and Eastern Europe,43,Croatia,11.4,11.4
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,,4,Hong Kong,12.3,12.3
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Latin America and Caribbean,88,Dominican Republic,7.9,8.1
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Central and Eastern Europe,73,Bosnia and Herzegovina,9.8,9.8
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Middle East and North Africa,54,Turkey,8.1,8.1
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Southeast Asia,62,Malaysia,10.2,10.4
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Commonwealth of Independent States,53,Belarus,12.3,12.3
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Western Europe,32,Greece,10.5,10.6
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,East Asia,99,Mongolia,10.2,10.3
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,,82,North Macedonia,9.7,9.8
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Sub-Saharan Africa,161,Nigeria,6.5,6.7
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Commonwealth of Independent States,120,Kyrgyzstan,10.9,11.1
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Commonwealth of Independent States,111,Turkmenistan,10.3,10.3
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Middle East and North Africa,91,Algeria,8.0,8.0
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Middle East and North Africa,121,Morocco,5.5,5.6
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Commonwealth of Independent States,88,Azerbaijan,10.6,10.6
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Middle East and North Africa,92,Lebanon,8.7,8.7
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Southeast Asia,107,Indonesia,8.0,8.2
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,East Asia,85,China,7.9,8.1
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Southeast Asia,117,Vietnam,8.2,8.3
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,,129,Bhutan,4.1,4.1
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Sub-Saharan Africa,153,Cameroon,6.3,6.3
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Central and Eastern Europe,56,Bulgaria,11.4,11.4
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Sub-Saharan Africa,138,Ghana,7.2,7.3
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Sub-Saharan Africa,162,Ivory Coast,5.2,5.3
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,South Asia,142,Nepal,4.9,5.0
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Middle East and North Africa,102,Jordan,10.5,10.5
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Sub-Saharan Africa,158,Benin,3.8,3.8
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Sub-Saharan Africa,149,Congo (Brazzaville),6.5,6.5
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Sub-Saharan Africa,119,Gabon,8.4,8.7
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Southeast Asia,137,Laos,5.2,5.3
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Sub-Saharan Africa,114,South Africa,10.2,10.2
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Central and Eastern Europe,69,Albania,10.1,10.1
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Latin America and Caribbean,113,Venezuela,10.3,10.3
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Southeast Asia,144,Cambodia,4.8,5.0
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Middle East and North Africa,115,Palestinian Territories,9.1,9.2
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Sub-Saharan Africa,168,Senegal,3.1,3.2
112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,,,Somalia,,
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Sub-Saharan Africa,130,Namibia,6.9,7.0
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Sub-Saharan Africa,189,Niger,2.0,2.1
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Sub-Saharan Africa,182,Burkina Faso,1.6,1.6
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Commonwealth of Independent States,81,Armenia,11.3,11.3
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Middle East and North Africa,70,Iran,10.2,10.3
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Sub-Saharan Africa,178,Guinea,2.7,2.8
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Commonwealth of Independent States,61,Georgia,12.8,13.1
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Sub-Saharan Africa,172,Gambia,3.8,3.9
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Sub-Saharan Africa,143,Kenya,6.6,6.6
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Sub-Saharan Africa,157,Mauritania,4.6,4.7
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Sub-Saharan Africa,181,Mozambique,3.5,3.5
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Middle East and North Africa,95,Tunisia,7.2,7.2
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,South Asia,133,Bangladesh,6.1,6.2
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Middle East and North Africa,123,Iraq,7.3,7.3
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Sub-Saharan Africa,175,Congo (Kinshasa),6.8,6.8
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Sub-Saharan Africa,184,Mali,2.4,2.4
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Sub-Saharan Africa,182,Sierra Leone,3.6,3.7
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,South Asia,72,Sri Lanka,10.6,10.6
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Southeast Asia,147,Myanmar,5.0,5.0
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Sub-Saharan Africa,187,Chad,2.5,2.5
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Commonwealth of Independent States,74,Ukraine,11.4,11.4
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Sub-Saharan Africa,173,Ethiopia,2.8,2.9
135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,Sub-Saharan Africa,138,Swaziland,6.9,6.9
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Sub-Saharan Africa,159,Uganda,6.1,6.2
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Middle East and North Africa,116,Egypt,7.3,7.4
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Sub-Saharan Africa,146,Zambia,7.1,7.2
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Sub-Saharan Africa,167,Togo,4.8,5.0
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,South Asia,131,India,6.5,6.5
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Sub-Saharan Africa,175,Liberia,4.7,4.8
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Sub-Saharan Africa,156,Comoros,5.0,5.1
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Sub-Saharan Africa,164,Madagascar,6.1,6.1
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Sub-Saharan Africa,165,Lesotho,6.4,6.5
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Sub-Saharan Africa,185,Burundi,3.1,3.3
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Sub-Saharan Africa,150,Zimbabwe,8.4,8.5
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Latin America and Caribbean,170,Haiti,5.6,5.6
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Sub-Saharan Africa,100,Botswana,9.4,9.6
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,,151,Syria,5.1,5.1
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Sub-Saharan Africa,174,Malawi,4.6,4.7
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Middle East and North Africa,179,Yemen,3.2,3.2
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Sub-Saharan Africa,160,Rwanda,4.3,4.4
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Sub-Saharan Africa,163,Tanzania,6.0,6.1
154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,South Asia,169,Afghanistan,3.9,3.9
155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Sub-Saharan Africa,188,Central African Republic,4.3,4.3
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Sub-Saharan Africa,185,South Sudan,4.8,4.8
